time_minutes,triggerFiltration,triggerVacuumTransport,synthesisSwitchedOn,crystSwitchedOn,hmeSwitchedOn,dcLineSwitchedOn,tabletPressSwitchedOn,synthesisInOperation,crystInOperation,hmeInOperation,dcLineInOperation,tabletPressInOperation,synthesisMassFlowOut,synthesisMassHoldUp,crystMassFlowIntern,crystMassFlowPolymer,crystMassHoldUp,filtrationMassInFiltration,hmeMassHoldUpIn,hmeMassFlowAPI,hmeMassFlowPolymer,hmeMassFlowIntern,hmeMassHoldUp,vacuumMassInTransport,dcLineMassHoldUpIn,dcLineMassFlowAPI,dcLineMassFlowPolymer,dcLineMassFlowIntern,dcLineMassHoldUp,tabletPressMassFlowIntern,tabletPressTabletMassFlowIntern,tabletPressBlenderSpeed,tabletPressMassHoldUp
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,583.3749999999837,3.1250000000032516,28.125000000029264,1656.2500000001626,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
10,-2.886579864025407e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,567.7499999999837,3.124999999999991,28.124999999999922,1812.5000000001621,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
15,0.0,-2.2790658249505213e-12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,552.1249999999837,3.125,28.125,1968.7500000001621,0.0,-0.0,-1.8758328224066646e-15,-3.5640823625726625e-14,-3.751665644813329e-14,3.5271341403131373e-10,-3.5583980206865817e-10,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,536.4999999999837,3.125,28.125,2125.000000000162,0.0,-0.0,0.0,0.0,0.0,3.5271341403131373e-10,0.0,-3.5583980206865817e-10,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
25,0.0,3.0496716263428425e-12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,520.8749999999837,3.125,28.125,2281.250000000162,0.0,5.560000000000156,0.0,0.0,0.0,0.0,3.5271341403131373e-10,0.0,-4.270077624823898e-12,-1.7080310499295593e-11,-2.1350388124119492e-11,1799.9999999982208,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,505.24999999998374,3.125,28.125,2437.500000000162,0.0,5.560000000000156,0.0,0.0,0.0,0.0,0.0,-3.080913302255784e-12,4.269531928002835e-12,1.707812771201134e-11,2.1347659640014173e-11,1800.0,0.0,0.0,0.0,0.0
35,1.0,2.6423307986078726e-14,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,489.6249999999838,3.125,28.125,93.75000000016189,2500.0,5.560000000000156,0.0,0.0,0.0,0.0,0.0,-3.080913302255784e-12,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,473.99999999998374,3.125,28.125,250.0000000001619,0.0,5.560000000000156,0.0,0.0,0.0,-3.069544618483633e-12,3.069544618483633e-12,-3.080913302255784e-12,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,458.37499999998374,3.125,28.125,406.2500000001619,0.0,5.560000000000156,0.0,0.0,0.0,-3.069544618483633e-12,0.0,-1.1368683772151263e-14,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,442.74999999998374,3.125,28.125,562.5000000001619,0.0,5.560000023809602,-2.857133495126618e-10,-5.428553640740575e-9,-5.714266990253236e-9,-4.7619198539905483e-7,0.0,-1.1368683772151263e-14,0.0,0.0,0.0,1800.0000000000002,0.0,0.0,0.0,0.0
